fips,TOT_POP,0-9,19-Oct,20-29,30-39,40-49,50-59,60-69,70-79,80+,White-alone pop,Black-alone pop,Native American/American Indian-alone pop,Asian-alone pop,Hawaiian/Pacific Islander-alone pop,Two or more races pop,POP_ESTIMATE_2018,N_POP_CHG_2018,GQ_ESTIMATES_2018,R_birth_2018,R_death_2018,R_NATURAL_INC_2018,R_INTERNATIONAL_MIG_2018,R_DOMESTIC_MIG_2018,R_NET_MIG_2018,Less than a high school diploma 2014-18,High school diploma only 2014-18,Some college or associate's degree 2014-18,Bachelor's degree or higher 2014-18,POVALL_2018,MEDHHINC_2018,CI90LBINC_2018,CI90UBINC_2018,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Median_Household_Income_2018,Active Physicians per 100000 Population 2018 (AAMC),Total Active Patient Care Physicians per 100000 Population 2018 (AAMC),Active Primary Care Physicians per 100000 Population 2018 (AAMC),Active Patient Care Primary Care Physicians per 100000 Population 2018 (AAMC),Active General Surgeons per 100000 Population 2018 (AAMC),Active Patient Care General Surgeons per 100000 Population 2018 (AAMC),Total nurse practitioners (2019),Total physician assistants (2019),Total Hospitals (2019),Internal Medicine Primary Care (2019),Family Medicine/General Practice Primary Care (2019),Total Specialist Physicians (2019),ICU Beds_x,Total Population,Population Aged 60+,COUNTY_NAME,STATE_NAME,STATE_FIPS,CNTY_FIPS,county_pop2018_18 and older,anycondition_prevalence,Obesity_prevalence,Obesity_number,Heart disease_prevalence,Heart disease_number,COPD_prevalence,COPD_number,diabetes_prevalence,diabetes_number,CKD_prevalence,CKD_number,Urban_rural_code
26127,26625,3221,3463,2922,2829,2831,3831,3860,2460,1208,25313,337,428,89,11,447,26625,167,303,11.3,10.0,1.3,1.5,3.5,5.0,2546,6396,5727,3406,4070,50374,47914,52834,12456,11696,760,50374,287.0,249.7,97.8,87.6,7.9,6.7,11.77305929,10.07635369,0.383556683,19.75050558,16.04279098,54.0788287,0,26317,7218,879,22,26,127,20545,49.7,38.6,7930,10.1,2072,11.3,2314,13.7,2823,3.8,771,6
42121,51266,5272,5751,5137,5341,5880,7885,8271,4801,2928,49662,593,109,231,22,649,51266,-557,1302,9.7,13.1,-3.4,0.0,-7.4,-7.4,3913,18496,9051,6742,7537,45761,43018,48504,22421,21317,1104,45761,320.5,273.3,100.8,88.2,8.7,7.2,28.03264746,22.69271433,0.796586726,41.53459233,28.83724008,107.1469191,8,52880,15253,1404,38,42,121,41304,46.7,33.2,13713,9.2,3796,9.9,4097,13.1,5416,3.5,1454,5
18133,37779,3915,5118,6202,4363,4451,5107,4349,2713,1561,35248,1435,135,394,18,549,37779,169,5022,10.7,9.2,1.5,0.6,2.4,3.0,2678,10860,7263,3984,3978,54718,50857,58579,16882,16245,637,54718,230.8,212.0,80.3,74.4,6.5,6.1,19.49391292,4.770447847,0.745206054,14.85331158,18.75999787,49.14972658,6,37543,8058,327,14,18,133,30379,47.0,33.7,10238,7.3,2222,9.2,2792,12.2,3698,2.9,871,2
40131,91984,11163,12646,11595,11357,11444,12774,10791,6736,3478,69216,1175,12403,1370,79,7741,91984,505,1216,10.6,9.1,1.4,0.5,3.7,4.2,4804,19984,21265,14803,8855,61849,58266,65432,44792,43309,1483,61849,206.7,189.1,73.9,68.5,6.2,5.8,26.38392586,30.04641601,2.915995343,30.76958286,52.7211958,108.7549623,6,90098,19479,1350,36,40,131,70506,46.9,36.5,25735,7.8,5484,8.1,5716,11.2,7913,3.0,2118,3
26025,134487,16698,17666,17281,15993,15845,17982,16909,10074,6039,109628,15004,1047,4026,61,4721,134487,129,4326,12.0,10.3,1.7,2.3,-3.0,-0.7,8123,33106,30526,19318,22602,48413,45124,51702,62865,60219,2646,48413,287.0,249.7,97.8,87.6,7.9,6.7,59.46754649,50.89722362,1.93740423,99.76286363,81.03462274,273.1605422,32,134327,31227,7,22,26,25,103686,48.0,37.5,38882,8.4,8686,9.6,10002,12.5,12987,3.4,3490,4
6075,883305,72007,60660,151437,183382,120821,107395,93694,54600,39309,467444,49184,6570,317204,4015,38888,883305,4139,24235,10.2,7.5,2.6,7.2,-5.1,2.1,79408,84630,131509,394004,87596,110601,107200,114002,575567,562022,13545,110601,279.6,243.8,96.2,87.1,7.2,6.2,344.1931335,176.7858465,8.016435378,499.3636333,339.3698743,1312.350762,337,864263,179193,202,4,6,75,764613,23.9,16.8,128455,4.6,35077,3.8,28886,8.8,67258,2.3,17872,1
13321,20299,2435,2532,2443,2283,2367,2949,2664,1826,800,14106,5724,73,136,14,246,20299,-237,89,10.0,11.4,-1.3,0.1,-10.4,-10.3,2659,5932,4124,1470,4128,48708,45569,51847,9182,8778,404,48708,228.7,202.9,79.1,71.9,7.0,6.1,9.291308264,6.419975617,0.27980056,9.605842687,6.582066976,24.67647977,0,20809,5131,445,10,13,321,15759,46.1,32.9,5185,9.1,1433,10.6,1669,15.5,2438,3.9,608,4
46003,2801,361,402,277,350,287,331,377,232,184,2633,21,76,20,0,51,2801,44,96,15.5,8.6,6.8,7.2,1.8,9.0,238,607,592,372,276,53107,47916,58298,1557,1512,45,53107,240.4,219.1,92.8,84.8,9.2,8.6,1.501723464,1.282655982,0.180968789,1.076288064,1.717616055,3.04154562,0,2739,732,1435,41,46,3,2106,40.4,30.4,640,7.8,165,6.1,128,10.3,216,3.1,64,6
42017,628195,64634,77403,70438,73278,78076,99861,84949,49074,30482,555198,27543,1787,32220,376,11071,628195,1167,8038,9.3,9.7,-0.3,1.2,1.1,2.3,27363,128245,109517,180201,35350,88538,86842,90234,341069,328286,12783,88538,320.5,273.3,100.8,88.2,8.7,7.2,343.5019111,278.0683041,9.761085292,508.9498542,353.3610977,1312.939548,90,626486,151809,1379,38,42,17,499979,39.3,29.8,148994,6.3,31557,6.4,31984,10.7,53389,2.7,13632,2
35019,4341,454,543,567,652,457,533,527,348,260,3927,112,147,54,0,101,4341,-68,573,10.3,11.0,-0.7,0.0,-14.9,-14.9,677,1412,881,391,915,29515,26216,32814,1624,1534,90,29515,244.8,213.8,91.1,82.1,7.7,7.3,2.117229511,1.102119472,0.084937779,2.028148426,2.351326316,5.995364193,0,4426,1149,1141,31,35,19,3436,48.3,35.7,1227,7.6,260,5.8,201,14.3,492,3.8,129,6
