fips,TOT_POP,0-9,19-Oct,20-29,30-39,40-49,50-59,60-69,70-79,80+,White-alone pop,Black-alone pop,Native American/American Indian-alone pop,Asian-alone pop,Hawaiian/Pacific Islander-alone pop,Two or more races pop,POP_ESTIMATE_2018,N_POP_CHG_2018,GQ_ESTIMATES_2018,R_birth_2018,R_death_2018,R_NATURAL_INC_2018,R_INTERNATIONAL_MIG_2018,R_DOMESTIC_MIG_2018,R_NET_MIG_2018,Less than a high school diploma 2014-18,High school diploma only 2014-18,Some college or associate's degree 2014-18,Bachelor's degree or higher 2014-18,POVALL_2018,MEDHHINC_2018,CI90LBINC_2018,CI90UBINC_2018,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Median_Household_Income_2018,Active Physicians per 100000 Population 2018 (AAMC),Total Active Patient Care Physicians per 100000 Population 2018 (AAMC),Active Primary Care Physicians per 100000 Population 2018 (AAMC),Active Patient Care Primary Care Physicians per 100000 Population 2018 (AAMC),Active General Surgeons per 100000 Population 2018 (AAMC),Active Patient Care General Surgeons per 100000 Population 2018 (AAMC),Total nurse practitioners (2019),Total physician assistants (2019),Total Hospitals (2019),Internal Medicine Primary Care (2019),Family Medicine/General Practice Primary Care (2019),Total Specialist Physicians (2019),ICU Beds_x,Total Population,Population Aged 60+,COUNTY_NAME,STATE_NAME,STATE_FIPS,CNTY_FIPS,county_pop2018_18 and older,anycondition_prevalence,Obesity_prevalence,Obesity_number,Heart disease_prevalence,Heart disease_number,COPD_prevalence,COPD_number,diabetes_prevalence,diabetes_number,CKD_prevalence,CKD_number,Urban_rural_code
26127,26625.0,3221.0,3463.0,2922.0,2829.0,2831.0,3831.0,3860.0,2460.0,1208.0,25313.0,337.0,428.0,89.0,11.0,447.0,26625.0,167.0,303.0,11.3,10.0,1.3,1.5,3.5,5.0,2546.0,6396.0,5727.0,3406.0,4070.0,50374.0,47914.0,52834.0,12456.0,11696.0,760.0,50374.0,287.0,249.7,97.8,87.6,7.9,6.7,11.77305929,10.07635369,0.383556683,19.75050558,16.04279098,54.0788287,0.0,26317.0,7218.0,879,22,26,127.0,20545.0,49.7,38.6,7930.0,10.1,2072.0,11.3,2314.0,13.7,2823.0,3.8,771.0,6
42121,51266.0,5272.0,5751.0,5137.0,5341.0,5880.0,7885.0,8271.0,4801.0,2928.0,49662.0,593.0,109.0,231.0,22.0,649.0,51266.0,-557.0,1302.0,9.7,13.1,-3.4,0.0,-7.4,-7.4,3913.0,18496.0,9051.0,6742.0,7537.0,45761.0,43018.0,48504.0,22421.0,21317.0,1104.0,45761.0,320.5,273.3,100.8,88.2,8.7,7.2,28.03264746,22.69271433,0.796586726,41.53459233,28.83724008,107.1469191,8.0,52880.0,15253.0,1404,38,42,121.0,41304.0,46.7,33.2,13713.0,9.2,3796.0,9.9,4097.0,13.1,5416.0,3.5,1454.0,5
18133,37779.0,3915.0,5118.0,6202.0,4363.0,4451.0,5107.0,4349.0,2713.0,1561.0,35248.0,1435.0,135.0,394.0,18.0,549.0,37779.0,169.0,5022.0,10.7,9.2,1.5,0.6,2.4,3.0,2678.0,10860.0,7263.0,3984.0,3978.0,54718.0,50857.0,58579.0,16882.0,16245.0,637.0,54718.0,230.8,212.0,80.3,74.4,6.5,6.1,19.49391292,4.770447847,0.745206054,14.85331158,18.75999787,49.14972658,6.0,37543.0,8058.0,327,14,18,133.0,30379.0,47.0,33.7,10238.0,7.3,2222.0,9.2,2792.0,12.2,3698.0,2.9,871.0,2
40131,91984.0,11163.0,12646.0,11595.0,11357.0,11444.0,12774.0,10791.0,6736.0,3478.0,69216.0,1175.0,1555.5,1370.0,79.0,3472.5,91984.0,505.0,1216.0,10.6,9.1,1.4,0.5,3.7,4.2,4804.0,19984.0,21265.0,14803.0,8855.0,61849.0,58266.0,65432.0,44792.0,43309.0,1483.0,61849.0,206.7,189.1,73.9,68.5,6.2,5.8,26.38392586,30.04641601,2.9057676592500004,30.76958286,52.7211958,108.7549623,6.0,90098.0,19479.0,1350,36,40,131.0,70506.0,46.9,36.5,25735.0,7.8,5484.0,8.1,5716.0,11.2,7913.0,3.0,2118.0,3
26025,134487.0,16698.0,17666.0,17281.0,15993.0,15845.0,17982.0,16909.0,10074.0,6039.0,109628.0,14199.5,1047.0,2080.125,61.0,3472.5,134487.0,129.0,4326.0,12.0,10.3,1.7,2.3,-3.0,-0.7,8123.0,33106.0,30526.0,19318.0,21097.625,48413.0,45124.0,51702.0,62865.0,60219.0,2646.0,48413.0,287.0,249.7,97.8,87.6,7.9,6.7,59.46754649,42.782360291625,1.93740423,84.99048587812501,70.31241441825,237.56324629249997,30.0,134327.0,31227.0,7,22,26,25.0,103686.0,48.0,37.5,38882.0,8.4,8686.0,9.6,10002.0,12.5,12987.0,3.4,3490.0,4
6075,153337.625,18321.75,19993.875,20545.0,18936.5,18433.375,20668.625,19561.5,12508.875,6449.875,133951.25,14199.5,1555.5,2080.125,165.0,3472.5,153337.625,868.25,5349.75,10.2,7.5,2.6,3.25,-5.1,2.1,12888.375,33826.25,32587.75,24439.25,21097.625,81540.125,75818.25,86579.375,71711.0,68788.25,2889.5,81540.125,279.6,243.8,96.2,87.1,7.2,6.2,79.88024761137498,42.782360291625,2.9057676592500004,84.99048587812501,70.31241441825,237.56324629249997,30.0,152301.375,36043.5,202,4,6,75.0,119360.25,30.749999999999996,24.15,41743.75,4.6,9742.25,3.8,10595.0,8.8,14916.5,2.3,3968.5,1
13321,20299.0,2435.0,2532.0,2443.0,2283.0,2367.0,2949.0,2664.0,1826.0,800.0,14106.0,5724.0,73.0,136.0,14.0,246.0,20299.0,-237.0,89.0,10.0,11.4,-1.3,0.1,-10.4,-10.3,2659.0,5932.0,4124.0,1470.0,4128.0,48708.0,45569.0,51847.0,9182.0,8778.0,404.0,48708.0,228.7,202.9,79.1,71.9,7.0,6.1,9.291308264,6.419975617,0.27980056,9.605842687,6.582066976,24.67647977,0.0,20809.0,5131.0,445,10,13,280.0,15759.0,46.1,32.9,5185.0,9.1,1433.0,10.6,1669.0,15.5,2438.0,3.9,608.0,4
46003,2801.0,361.0,402.0,277.0,350.0,287.0,331.0,377.0,232.0,184.0,2633.0,21.0,76.0,20.0,0.0,51.0,2801.0,44.0,96.0,15.5,8.6,6.8,3.25,1.8,9.0,238.0,607.0,592.0,372.0,276.0,53107.0,47916.0,58298.0,1557.0,1512.0,45.0,53107.0,240.4,219.1,92.8,84.8,9.2,8.6,1.501723464,1.282655982,0.180968789,1.076288064,1.717616055,3.04154562,0.0,2739.0,732.0,1435,41,46,3.0,2106.0,40.4,30.4,640.0,7.8,165.0,6.1,128.0,10.3,216.0,3.1,64.0,6
42017,153337.625,18321.75,19993.875,20545.0,18936.5,18433.375,20668.625,19561.5,12508.875,6449.875,133951.25,14199.5,1555.5,2080.125,165.0,3472.5,153337.625,868.25,5349.75,9.3,9.7,-0.3,1.2,1.1,2.3,12888.375,33826.25,32587.75,24439.25,21097.625,81540.125,75818.25,86579.375,71711.0,68788.25,2889.5,81540.125,320.5,273.3,100.8,88.2,8.7,7.2,79.88024761137498,42.782360291625,2.9057676592500004,84.99048587812501,70.31241441825,237.56324629249997,30.0,152301.375,36043.5,1379,38,42,17.0,119360.25,39.3,29.8,41743.75,6.3,9742.25,6.4,10595.0,10.7,14916.5,2.7,3968.5,2
35019,4341.0,454.0,543.0,567.0,652.0,457.0,533.0,527.0,348.0,260.0,3927.0,112.0,147.0,54.0,0.0,101.0,4341.0,-68.0,573.0,10.3,11.0,-0.7,0.0,-14.9,-14.9,677.0,1412.0,881.0,391.0,915.0,29515.0,26216.0,32814.0,1624.0,1534.0,90.0,29515.0,244.8,213.8,91.1,82.1,7.7,7.3,2.117229511,1.102119472,0.084937779,2.028148426,2.351326316,5.995364193,0.0,4426.0,1149.0,1141,31,35,19.0,3436.0,48.3,35.7,1227.0,7.6,260.0,5.8,201.0,14.3,492.0,3.8,129.0,6
